Category,Type,Color,Icon Color,Icon,Prefix,Name,Address,Latitude,Longitude
Bar,Bar,red,white,beer-mug-empty,fa,Chill Bar,"C/ de Provença, 424, Barcelona",41.4023547,2.1718112
Bar,Bar,red,white,beer-mug-empty,fa,Il Ritrovo Italy,"C/ de Roger de Flor, 134, Barcelona",41.396301,2.1762188
Bar,Bar,red,white,beer-mug-empty,fa,Bare Nostrum Bar Coctelería Gintoniquería,"C/ del Consell de Cent, 384, Barcelona",41.3954601,2.1717323
Bar,Bar,red,white,beer-mug-empty,fa,Balius Bar,"C. de Pujades, 196, Barcelona",41.4022094,2.2015768
Bar,Bar,red,white,beer-mug-empty,fa,AK Bar,"C/ d'Aragó, 584, Barcelona",41.4079801,2.1862137
Bar,Bar,red,white,beer-mug-empty,fa,"Acuari, Bar - Cerveceria","Carrer de la Marina, 261, Barcelona",41.4047663,2.1739303
Bar,Bar,red,white,beer-mug-empty,fa,Vitto Bar Musical,"C/ del Consell de Cent, 420, Barcelona",41.3973026,2.1741612
Bar,Bar,red,white,beer-mug-empty,fa,Sonora Sport Tavern,"C/ de Pamplona, 96, Barcelona",41.3978846,2.1899731
Bar,Bar,red,white,beer-mug-empty,fa,Beercelona Bar,"Rambla del Poblenou, 118, Barcelona",41.4032756,2.1985464
Bar,Bar,red,white,beer-mug-empty,fa,Bar 504,"C/ del Rosselló, 504, Barcelona",41.4097471,2.1795083
Bar,Bar,red,white,beer-mug-empty,fa,La Whiskeria,"C/ de Casp, 39, Barcelona",41.3918113,2.1736163
Bar,Bar,red,white,beer-mug-empty,fa,Bar La Menol,"Carrer de Fluvià, 202, Barcelona",41.4146384,2.1977886
Bar,Bar,red,white,beer-mug-empty,fa,56 Lounge Bar,"Carrer de la Marina, 56, Barcelona",41.3917977,2.1913304
Bar,Bar,red,white,beer-mug-empty,fa,Ocio Bar,"C/ de Sardenya, 202, Barcelona",41.3977228,2.1809828
Bar,Bar,red,white,beer-mug-empty,fa,Hola Bar & Cocktails,"C. de Nàpols, 147, Barcelona",41.3967941,2.1773734
Bar,Bar,red,white,beer-mug-empty,fa,@L13 Sports Bar,"Carrer del Taulat, 1, Barcelona",41.3949079,2.2009939
Bar,Bar,red,white,beer-mug-empty,fa,Madame George Lounge Bar,"C. de Pujades, 179, Barcelona",41.4020842,2.201048
Bar,Bar,red,white,beer-mug-empty,fa,bar tossa,"C/ de Provença, 493, Barcelona",41.4067061,2.17723
Bar,Bar,red,white,beer-mug-empty,fa,Bar Marina 65,"Carrer de la Marina, Barcelona",41.3918421,2.1904206
Bar,Bar,red,white,beer-mug-empty,fa,Bar Caramelo,"Carrer Bassols, 13, Barcelona",41.4089725,2.1838472
