Category,Type,Color,Icon Color,Icon,Prefix,Name,Address,Latitude,Longitude
Travel Agency,Travel Agency,purple,black,plane,fa,Mêlée Travels,"C/ de Sancho de Ávila, 119, Barcelona",41.4019021,2.193823000000001
Travel Agency,Travel Agency,purple,black,plane,fa,TravelPerk,"C/ dels Almogàvers, 160, Barcelona",41.39920980000001,2.1932432
Travel Agency,Travel Agency,purple,black,plane,fa,BCN Travel,"Torre Glories - Floor 27, Av. Diagonal, 211, 08002, Barcelona",41.4034045,2.1895934
Travel Agency,Travel Agency,purple,black,plane,fa,B travel,"C. del dos de Maig, 226, Barcelona",41.4067772,2.1825682
Travel Agency,Travel Agency,purple,black,plane,fa,Tag Travelling,"C/ de Mallorca, 532, Barcelona",41.4082754,2.1819799
Travel Agency,Travel Agency,purple,black,plane,fa,ONA Tailored Travel Experiences,"C. d'Àlaba, 143, Barcelona",41.4003391,2.1885426
Travel Agency,Travel Agency,purple,black,plane,fa,Luxury Dreams Barcelona,"Av. Diagonal, 211, Barcelona",41.4034499,2.1895557
Travel Agency,Travel Agency,purple,black,plane,fa,Viatges Sol D'or,"C/ de Sardenya, 163, Barcelona",41.3970629,2.1816069
Travel Agency,Travel Agency,purple,black,plane,fa,Viajes Beagle Barcelona,"Utopicus Glories (CITA PREVIA, C/ de la Ciutat de Granada, 150, Barcelona",41.4031005,2.192241
Travel Agency,Travel Agency,purple,black,plane,fa,Viatges El Corte Inglés,"08005, Rambla del Poblenou, 135, Barcelona",41.4046856,2.1963239
