Category,Type,Color,Icon Color,Icon,Prefix,Name,Address,Latitude,Longitude
Metro,Metro Station,darkred,white,train-subway,fa,Llacuna,Barcelona,41.3992107,2.1972425
Metro,Metro Station,darkred,white,train-subway,fa,Encants,Barcelona,41.40688979999999,2.1822171
Metro,Metro Station,darkred,white,train-subway,fa,Glòries,Barcelona,41.4025554,2.187806
Metro,Metro Station,darkred,white,train-subway,fa,Bogatell,"82, C. de Pujades, 80, Barcelona",41.3952119,2.1921292
Metro,Metro Station,darkred,white,train-subway,fa,Clot,Barcelona,41.4103465,2.1868798
Metro,Metro Station,darkred,white,train-subway,fa,Marina,Barcelona,41.3952229,2.1871065
Metro,Metro Station,darkred,white,train-subway,fa,Monumental,Barcelona,41.400524,2.179462
Metro,Metro Station,darkred,white,train-subway,fa,Estació de Glòries,"Plaça de les Glòries, Barcelona",41.40293,2.1917018
