Category,Type,Color,Icon Color,Icon,Prefix,Name,Address,Latitude,Longitude
Restaurant,Restaurant,orange,white,utensils,fa,La Broqueta,"Rambla del Poblenou, 101, Barcelona",41.402807,2.1988
Restaurant,Restaurant,orange,white,utensils,fa,Bistro Sagrada,"Carrer de la Marina, 228, Barcelona",41.4023754,2.177609
Restaurant,Restaurant,orange,white,utensils,fa,Lanto Restaurant,"C/ de València, 646, Barcelona",41.4117,2.18867
Restaurant,Restaurant,orange,white,utensils,fa,Snack Bar - Restaurant Carles I,Barcelona,41.3987189,2.1822464
Restaurant,Restaurant,orange,white,utensils,fa,Fénix Brunch Burger,"Carrer de la Marina, 127, Barcelona",41.39654729999999,2.1838293
Restaurant,Restaurant,orange,white,utensils,fa,Wapa Tapes i Restaurant,"Av. Diagonal, 203, Barcelona",41.403869,2.1905515
Restaurant,Restaurant,orange,white,utensils,fa,Il Birrino,"Carrer d'Alí Bei, 123, Barcelona",41.396294,2.1843044
Restaurant,Restaurant,orange,white,utensils,fa,La Oficina Lounge Restaurant,"Carrer del Municipi, 20, Barcelona",41.4095359,2.1904144
Restaurant,Restaurant,orange,white,utensils,fa,Restaurante Elkaissi,"C/ de València, 568, Barcelona",41.4075527,2.1834126
Restaurant,Restaurant,orange,white,utensils,fa,Klevito's Restaurant,"C/ de Badajoz, 115, Barcelona",41.4000065,2.1933281
Restaurant,Restaurant,orange,white,utensils,fa,Restaurant Colom,"Rambla del Poblenou, 56, Barcelona",41.400372,2.2023705
Restaurant,Restaurant,orange,white,utensils,fa,Granja Mabel,"Carrer de la Marina, 114, Barcelona",41.3947977,2.1873394
Restaurant,Restaurant,orange,white,utensils,fa,Gran Ruca Restaurante,"Carrer de Rogent, 23, Barcelona",41.4091306,2.1847492
Restaurant,Restaurant,orange,white,utensils,fa,NANA restaurante - brasa // Charcoal Grill,"Plaça del Mercat, 20, baixos",41.4076523,2.1891042
Restaurant,Restaurant,orange,white,utensils,fa,La Garriga,"Av. Diagonal, 198, Barcelona",41.4052265,2.1928077
Restaurant,Restaurant,orange,white,utensils,fa,Restaurante; Comida Peruana y Durum Kebab Mallorca,"C/ de Mallorca, 535, local, 2, Barcelona",41.4091866,2.1828125
Restaurant,Restaurant,orange,white,utensils,fa,Frankfurt Diagonal,"Av. Diagonal, 186, Barcelona",41.405296,2.1939109
Restaurant,Restaurant,orange,white,utensils,fa,MEXITALY : BAR & RESTAURANTE MEXICANO Y PIZZERIA,"C. de Cartagena, 221, LOCAL 1, Barcelona",41.4064106,2.1803543
Restaurant,Restaurant,orange,white,utensils,fa,My Gyros Pita & Pizza,"Carrer del Degà Bahí, 15, Barcelona",41.4108463,2.1831259
Restaurant,Restaurant,orange,white,utensils,fa,Koh,"C. de Pujades, 133, Barcelona",41.3997274,2.1979472
