Category,Type,Color,Icon Color,Icon,Prefix,Name,Address,Latitude,Longitude
School,Public School,blue,black,graduation-cap,fa,Provençals Public School,"C/ del Perú, 105, Barcelona",41.4078268,2.1945472
School,Public School,blue,black,graduation-cap,fa,Escola Fort Pienc,"Carrer d'Alí Bei, 75, Barcelona",41.3951298,2.1825278
School,Public School,blue,black,graduation-cap,fa,Poblenou school,"C/ del Perú, 139, Barcelona",41.4101174,2.1972537
School,Public School,blue,black,graduation-cap,fa,Escola La Farigola Del Clot,"Carrer d'Hernán Cortés, 6, Barcelona",41.4065279,2.1880532
School,Public School,blue,black,graduation-cap,fa,Escola Pere Vila,"Passeig de Lluís Companys, 18, Barcelona",41.3917173,2.1811337
School,Public School,blue,black,graduation-cap,fa,Escola Bogatell,"C/ de Ramon Turró, 74, 76, Barcelona",41.393322,2.1945418
School,Public School,blue,black,graduation-cap,fa,Llar d'Infants Escolàpies Llúria,"C/ de Roger de Llúria, 62, Barcelona",41.393805,2.1682257
School,Public School,blue,black,graduation-cap,fa,Catalonia school,"C/ del Perú, 195, Barcelona",41.412451,2.2008733
School,Public School,blue,black,graduation-cap,fa,Public Administration School of Catalonia,"C/ de Girona, 20, Barcelona",41.3917037,2.1756042
School,Public School,blue,black,graduation-cap,fa,Escola Brasil,"Gran Via de les Corts Catalanes, 1108, Barcelona",41.4158659,2.2055276
School,Public School,blue,black,graduation-cap,fa,Escola Pública Miralletes,"C. de la Indústria, 255, Barcelona",41.4135098,2.1791902
School,Public School,blue,black,graduation-cap,fa,Escola Pública Prim,"Carrer de Bernat Metge, 20, Barcelona",41.420142,2.2118072
School,Public School,blue,black,graduation-cap,fa,Escola Rambleta del Clot,"C/ d'Aragó, 620, Barcelona",41.4104886,2.1896754
School,Public School,blue,black,graduation-cap,fa,Escola Parc de la Ciutadella,"Passeig Circumval·lacio, 5, Barcelona",41.3849043,2.1878085
School,Public School,blue,black,graduation-cap,fa,Vila Olímpica School,"C/ de Carmen Amaya, 2, Barcelona",41.3937617,2.2027899
School,Public School,blue,black,graduation-cap,fa,Escola Castella,"Pl. de Castella, 8, Barcelona",41.3849765,2.1645953
School,Public School,blue,black,graduation-cap,fa,Escola de la Concepció,"C/ del Bruc, 102, Barcelona",41.3954431,2.1682507
School,Public School,blue,black,graduation-cap,fa,Llar d'Infants Guinyol,"Passatge d'Aloi, 6, Barcelona",41.4173502,2.1810384
School,Public School,blue,black,graduation-cap,fa,Escola La Llacuna del Poblenou,"C. de Pallars, 207, Barcelona",41.4018543,2.1981909
School,Public School,blue,black,graduation-cap,fa,Escola Estel Guinardó,"C/ del Telègraf, 58, Barcelona",41.4175335,2.1725868
