Category,Type,Color,Icon Color,Icon,Prefix,Name,Address,Latitude,Longitude
Hairdresser,Health & Beauty,white,black,scissors,fa,Nice Hair Salon,"Carrèr de Tànger, 149, Barcelona",41.40475,2.1955953
Hairdresser,Health & Beauty,white,black,scissors,fa,Llongueras,"Av. Diagonal, 208, Local B - 46, Barcelona",41.4055888,2.1914726
Hairdresser,Health & Beauty,white,black,scissors,fa,HairStudio by Elvita,"C/ de la Llacuna, 144, Barcelona",41.4054137,2.193444
Hairdresser,Health & Beauty,white,black,scissors,fa,Llabot hairdresser clot,"Plaça del Mercat, 25, Barcelona",41.4080626,2.1887701
Hairdresser,Health & Beauty,white,black,scissors,fa,Peluqueria Shibuya Encants,"C/ d'Aragó, 528, Barcelona",41.40560809999999,2.1830933
Hairdresser,Health & Beauty,white,black,scissors,fa,Peluquería Mi Corte,"Av. Diagonal, 180, Barcelona",41.405366,2.1941715
