Category,Type,Color,Icon Color,Icon,Prefix,Name,Address,Latitude,Longitude
Restaurant,Vegetarian,green,white,wheat-awn,fa,GreenVita Restaurante Glòries,"Av. Diagonal, 208, Barcelona",41.4054682,2.1919401
Restaurant,Vegetarian,green,white,wheat-awn,fa,Honest Greens Westfield Glories,"Av. Diagonal, 208, Barcelona",41.4051122,2.1922727
Restaurant,Vegetarian,green,white,wheat-awn,fa,Sopa Barcelona,"Carrer de Roc Boronat, 114, Barcelona",41.4023134,2.1953872
Restaurant,Vegetarian,green,white,wheat-awn,fa,Morgentau. Restaurante Brunch Vegano Barcelona,"C/ de la Llacuna, 114, Barcelona",41.40382410000001,2.1955831
Restaurant,Vegetarian,green,white,wheat-awn,fa,Debby's Good Veggie Food,"C/ de Sant Joan de Malta, 48, Local 5, Barcelona",41.407542,2.193707
Restaurant,Vegetarian,green,white,wheat-awn,fa,Pure Cuisine,"Av. Diagonal, 208, Barcelona",41.4051303,2.1928117
Restaurant,Vegetarian,green,white,wheat-awn,fa,Tierra Burrito Bar,"C/ d'Àvila, 171, Barcelona",41.40194109999999,2.1886743
Restaurant,Vegetarian,green,white,wheat-awn,fa,L'Encant Vegetarià,"C. de los Castillejos, 210, Barcelona",41.4038865,2.1819011
Restaurant,Vegetarian,green,white,wheat-awn,fa,Swad-The Indian Restaurant,"C/ de Sancho de Ávila, 167, Barcelona",41.4037394,2.1964747
Restaurant,Vegetarian,green,white,wheat-awn,fa,Koh,"C. de Pujades, 133, Barcelona",41.3997274,2.1979472
Restaurant,Vegetarian,green,white,wheat-awn,fa,UMAMI plantbased,"Carrer de Roc Boronat, 114, Barcelona",41.4023932,2.1952767
Restaurant,Vegetarian,green,white,wheat-awn,fa,Tutu Vietnamese Cuisine,"C/ del Clot, 31, Barcelona",41.407163,2.1877676
Restaurant,Vegetarian,green,white,wheat-awn,fa,Little Fern,"C/ de Pere IV, 168, Barcelona",41.4023546,2.1975128
